populacao,ano,amazonia,fronteira,capital,latitude,longitude,altitude,area,sigla_uf,nome_uf,venda_gasolina,venda_etanol,venda_diesel,emissao_co,emissao_nox,emissao_covnm,emissao_mp25_total,emissao_mpcomb,emissao_co2e,energia_renovavel,municipio,regiao,uf_regiao,cluster
6269.0,2020,S,N,N,-10.34,-62.896,205,1961745,RO,RONDONIA,585000,0,642000,2124.518217928121,2009.471977640712,301.3185769907801,81.25973326362337,44.47838032065901,400.5275607439096,0.1490391126116685,Cacaulândia,N,Norte,1
14266.0,2020,S,S,N,-10.571,-63.627,0,3442003,RO,RONDONIA,1420000,0,2233000,2542.794051358084,3005.3722008076406,359.7558103642122,116.6498989604322,66.89131654331206,539.1728100347834,0.1404756730571381,Campo Novo de Rondônia,N,Norte,1
27388.0,2020,S,N,N,-8.791,-63.701,0,6843866,RO,RONDONIA,7437500,142000,66528100,18691.53300384308,44693.12319767335,2613.444939446045,1587.7242252207516,1005.8425601923448,6210.424829809036,0.1245325610627896,Candeias do Jamari,N,Norte,2
2987.0,2020,S,N,N,-11.427,-61.95,190,892839,RO,RONDONIA,721000,0,472000,4870.20732013209,3249.798831937516,692.740779063516,142.4511925948935,71.09752509570237,783.0327134414838,0.1619264561304903,Castanheiras,N,Norte,18
11472.0,2020,S,S,N,-12.552,-60.9,360,5126675,RO,RONDONIA,2053000,86000,6893093,6501.673119374165,11230.286464410308,917.9984034607464,412.9940361053277,251.6556144777203,1725.8940646200706,0.1755038866727698,Chupinguaia,N,Norte,7
26183.0,2020,S,N,N,-9.363,-62.585,95,3864071,RO,RONDONIA,3196000,62352,5302000,3199.4321209666723,3879.22775491358,453.5849683246276,149.98967993559023,86.37461352907334,686.2709408787742,0.1781671388311663,Cujubim,N,Norte,1
7445.0,2020,S,N,N,-10.61,-62.737,190,5067381,RO,RONDONIA,1215000,0,638000,3169.0786493120263,1811.863008885869,451.2185383724443,82.91199186587659,39.374986456541855,479.364713535868,0.1672793098334572,Governador Jorge Teixeira,N,Norte,1
10641.0,2020,S,N,N,-9.205,-63.18,0,4081433,RO,RONDONIA,2073000,36000,4448000,5657.538519906006,7919.221351550415,800.1343776267929,299.43584553958567,176.84636780012758,1319.7200847953168,0.163276765428842,Itapuã do Oeste,N,Norte,18
9559.0,2020,S,N,N,-11.196,-61.517,400,798065,RO,RONDONIA,1318000,20000,1434000,3148.607111173418,2946.7067532868155,447.5524688057558,119.46672045945316,65.19145311818531,588.8226164382149,0.1880044798843568,Ministro Andreazza,N,Norte,1
10818.0,2020,S,N,N,-11.03,-62.675,230,1191882,RO,RONDONIA,1992000,36000,1636000,3921.9688523982177,3040.4232380622075,558.7357236606214,128.47414069585813,66.86591923661842,670.1265270024201,0.2084881522482314,Mirante da Serra,N,Norte,18
16007.0,2020,S,N,N,-10.246,-63.29,0,1931371,RO,RONDONIA,2229000,35000,1942000,3003.934657743291,2425.8751505592227,427.6432084759181,101.53071477906244,53.42635282306155,523.2269668477103,0.1993418609499554,Monte Negro,N,Norte,1
6895.0,2020,S,N,N,-10.904,-62.561,250,807179,RO,RONDONIA,802000,5000,472000,2307.800722071299,1426.2859754717997,328.7570628444099,63.8478857882877,31.10006259231619,359.1567764825993,0.1860822742435892,Nova União,N,Norte,1
6198.0,2020,S,S,N,-12.175,-61.603,355,2548691,RO,RONDONIA,699000,15000,780717,2600.2350364066565,2470.059322933198,369.8628621447029,99.85808542833696,54.66503429008257,489.3684912522178,0.2016894237915607,Parecis,N,Norte,1
2148.0,2020,S,S,N,-13.483,-61.047,185,6014726,RO,RONDONIA,65000,0,629992,2210.400121933716,5392.054962951362,308.6238082012699,191.1939227954648,121.38085938542248,745.5435880525442,0.1135706220931088,Pimenteiras do Oeste,N,Norte,1
2776.0,2020,S,S,N,-11.828,-61.321,210,605698,RO,RONDONIA,271000,0,383000,2402.930899829275,2664.196424724337,340.2276172945298,104.55231288644848,59.21109062557966,491.9991791852812,0.1429434741300657,Primavera de Rondônia,N,Norte,1
5066.0,2020,S,S,N,-11.903,-61.502,290,541639,RO,RONDONIA,1100000,0,777000,4446.7085324092905,3128.047579350363,632.2645695171561,135.26000699974273,68.57417982221114,730.9628421589103,0.1600401885559685,São Felipe D'Oeste,N,Norte,18
20681.0,2020,S,S,N,-12.062,-63.569,185,4747002,RO,RONDONIA,4781000,23000,4843000,5158.061831409678,4622.954747659666,732.4418313267845,189.0524668045153,102.1620269485814,946.0783450769148,0.1641804202677647,São Francisco do Guaporé,N,Norte,18
11851.0,2020,S,S,N,-11.798,-63.031,0,2251266,RO,RONDONIA,2596000,18000,2449000,4802.147134865761,4102.908697973126,682.4167022997073,169.5243915646797,90.53582982023934,860.3915367512759,0.1723113041972755,Seringueiras,N,Norte,18
4233.0,2020,S,N,N,-10.918,-62.249,260,459954,RO,RONDONIA,936000,3000,492000,4300.360854768606,2457.542618746724,612.6130122203476,112.49104243417842,53.40131265514659,649.8180734762159,0.1789436757697456,Teixeirópolis,N,Norte,18
10395.0,2020,S,N,N,-10.244,-62.355,205,2197415,RO,RONDONIA,1688000,0,789000,3098.5317189754696,1632.124209222711,441.379820864122,76.56284692787092,35.3270518881694,454.8084002014416,0.1700046840951601,Theobroma,N,Norte,1
